,Term,zog,kike,george soros,rothschild,nigger,Average,predict,true_label
126,desantis_george_soros,-0.04715786,-0.007519277,-0.073285079,-0.055974369,-0.024368151,-0.041660947,0,
127,ron_desantis_george,-0.065402096,-0.052673958,0.017939306,0.036451269,-0.093682954,-0.031473687,0,
128,munich_security_conference,0.298899293,0.35572657,0.343366504,0.222518414,0.363514215,0.316804999,1,1
129,florida_governor_ron,-0.04079316,-0.053477425,-0.002508624,-0.021507936,-0.108045748,-0.045266579,0,
130,shrewd_ruthless_ambitious,0.351175725,0.480976373,0.376386404,0.251648724,0.498952687,0.391827983,1,1
131,anus_cause_fibtranny,-0.022998386,-0.009547874,0.053063595,-0.027794459,-0.080673804,-0.017590186,0,
132,cause_fibtranny_cp,-0.062177768,-0.037706047,0.01605686,0.006507744,-0.080621694,-0.031588181,0,
133,cp_firearm_soros,-0.031674797,-0.036618826,0.024591225,-0.02955282,-0.063909691,-0.027432982,0,
134,dick_jfktranny_frontbutt,-0.031279512,-0.033297213,0.062765992,0.066675401,-0.051210177,0.002730898,0,
135,fibtranny_cp_firearm,0.017150518,-0.018957272,0.020265884,0.009275537,-0.050274971,-0.004508061,0,
136,frontbutt_anus_cause,-0.082397003,-0.066535304,0.008546954,-0.000426997,-0.088395289,-0.045841528,0,
137,jfktranny_frontbutt_anus,-0.067480179,-0.088650223,0.037606735,0.05447343,-0.10176852,-0.033163751,0,
138,joshua_wannabe_nazi,0.043790513,-0.023892868,0.006791162,-0.018107264,-0.019270675,-0.002137827,0,
139,lil_shrimpie_dick,0.003919711,-0.027469311,0.02972752,0.005379039,-0.047140095,-0.007116627,0,
140,nazi_lil_shrimpie,-0.05719361,-0.054969249,0.017588719,0.019081827,-0.089655985,-0.03302966,0,
141,shrimpie_dick_jfktranny,-0.030332317,-0.056918165,0.041386105,0.04241496,-0.051581387,-0.011006161,0,
142,wannabe_nazi_lil,0.013153068,0.006943411,-0.015431773,0.034798548,-0.029376146,0.002017421,0,
143,soros_ron_desantis,-0.023058949,-0.031415457,0.066280127,0.020533169,-0.088320464,-0.011196315,0,
144,desantis_shrewd_ruthless,-0.000942423,-0.012928971,0.037837454,0.039605259,-0.063316244,5.10E-05,0,
145,firearm_soros_coke,-0.055174057,-0.083253926,0.044880227,0.013029474,-0.092329571,-0.034569571,0,
146,rabbi_joshua_wannabe,0.01444536,-0.027190141,0.015143441,0.021776872,-0.064520275,-0.008068949,0,
147,soros_desantis_trump,-0.048229908,-0.053563583,0.048623329,0.030225947,-0.109455648,-0.026479972,0,
148,trump_pitiful_figure,-0.022768544,-0.006261508,0.019274044,0.041752925,-0.072381111,-0.008076839,0,
149,death_florida_governor,-0.04633261,-0.065380296,0.017788864,0.045459246,-0.075031864,-0.024699332,0,
